"Gebruiksfunctie";"Perioden";"Regio's";"Vergunde nieuwbouw (aantal)"
"Woning";"2015";"Nederland";63147
"Woning";"2016";"Nederland";62870
"Woning";"2017";"Nederland";80110
"Woning";"2018";"Nederland";85128
"Woning";"2019";"Nederland";66178
"Woning";"2020";"Nederland";77102
"Woning";"2021";"Nederland";86412
"Woning";"2022";"Nederland";79241
"Woning";"2023";"Nederland";72637
"Woning";"2024";"Nederland";93915
"Woning";"2025";"Nederland";86269
"Woning";"2026 januari*";"Nederland";5707
"Woning";"2026 februari*";"Nederland";8825
"Woning";"2026 maart*";"Nederland";8989
"Woning";"2026 april*";"Nederland";8388
